Layer ID,dim = 128 rouge1,dim = 128 rouge2,dim = 128 rougeL,dim = 256 rouge1,dim = 256 rouge2,dim = 256 rougeL,dim = 384 rouge1,dim = 384 rouge2,dim = 384 rougeL,dim = 512 rouge1,dim = 512 rouge2,dim = 512 rougeL
0,0.14881234426493045,0.02594748223663886,0.10666815013924548,0.2588108684102529,0.06812891676205307,0.16651667168745263,0.18351715851715855,0.039088004415482186,0.10989572405235055,0.18604448354552952,0.04296578623658649,0.1226563685100514
1,0.22464671704228478,0.05524726505550439,0.13520077728730298,0.2399195869410361,0.06330694149113078,0.15082639405121967,0.25069282300068296,0.07129489750926653,0.15507365274845342,0.2451565611943679,0.06394990272607001,0.148468514365669
2,0.2415773892696836,0.06468737187748214,0.1501482250522948,0.2552812203167497,0.06964401985929232,0.15501077745371974,0.23279369008376402,0.06487366460127275,0.14581831692219505,0.22367389152136696,0.05870647118021386,0.14738567694511182
3,0.2531580820616768,0.0706332718478016,0.16882537316852658,0.24532319229272176,0.06766181054698525,0.1563219318712604,0.23036372136817795,0.06853862681692871,0.15296012777746842,0.22121101193956944,0.06503833001959136,0.14435984444332134
4,0.227819797314273,0.0568635025010934,0.14530786376331384,0.23421810093651457,0.07245804544008191,0.15178329343771646,0.2117981215550246,0.05805151747223433,0.14539474680191689,0.21969968778019977,0.06177977532085752,0.1476004767495126
5,0.22952813990259302,0.05640115935482251,0.1374207148240315,0.23535017729011887,0.07035075850996247,0.14589845400010587,0.23170446321148142,0.061400020635104635,0.14513967527508764,0.23765167998138803,0.06142219725946897,0.1436268244725149
6,0.24690062756224607,0.06673039236502107,0.15270934058302688,0.27388596275369437,0.07971328763496577,0.16434399736550198,0.242188396927911,0.06744637420743001,0.1522003950485068,0.24102186553872668,0.07056502151679642,0.15487938138303015
7,0.2511488457639519,0.0733043030297261,0.152088534675082,0.22884985097622274,0.056094127716107486,0.1401982731963689,0.22130701610333914,0.060594234259007985,0.14697615070400932,0.22155605832076422,0.06115767506443279,0.13900801184148326
8,0.24209390715974832,0.07693866586338645,0.15203547919717658,0.24422450514121669,0.07357206196410129,0.1575109932553117,0.23331052109421363,0.06255327523381093,0.15601792042991905,0.22859720517543675,0.07282348434987382,0.14871785768284335
